,predation_risk,vigilance_total,vigilance_avg,time,group_size_prey
0,5.0,0.9564919800468106,0.23912299501170264,82.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,83.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,84.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,85.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,86.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,87.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,88.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,89.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,90.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,91.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,92.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,93.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,94.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,95.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,96.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,97.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,98.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,99.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,100.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,101.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,102.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,103.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,104.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,105.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,106.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,107.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,108.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,109.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,110.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,111.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,112.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,113.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,114.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,115.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,116.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,117.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,118.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,119.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,120.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,121.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,122.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,123.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,124.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,125.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,126.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,127.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,128.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,129.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,130.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,131.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,132.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,133.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,134.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,135.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,136.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,137.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,138.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,139.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,140.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,141.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,142.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,143.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,144.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,145.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,146.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,147.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,148.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,149.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,150.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,151.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,152.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,153.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,154.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,155.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,156.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,157.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,158.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,159.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,160.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,161.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,162.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,163.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,164.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,165.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,166.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,167.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,168.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,169.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,170.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,171.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,172.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,173.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,174.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,175.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,176.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,177.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,178.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,179.0,4.0
